id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun
206,32,JAWA BARAT,PUNCELING,WISATAWAN MANCANEGARA,0,ORANG,2016
207,32,JAWA BARAT,GUA PUTRI,WISATAWAN NUSANTARA,0,ORANG,2016
208,32,JAWA BARAT,GUA PUTRI,WISATAWAN MANCANEGARA,0,ORANG,2016
209,32,JAWA BARAT,OFF ROAD,WISATAWAN NUSANTARA,0,ORANG,2016
210,32,JAWA BARAT,OFF ROAD,WISATAWAN MANCANEGARA,0,ORANG,2016
211,32,JAWA BARAT,RAHONG,WISATAWAN NUSANTARA,0,ORANG,2016
212,32,JAWA BARAT,RAHONG,WISATAWAN MANCANEGARA,0,ORANG,2016
213,32,JAWA BARAT,BUPER TANGSI,WISATAWAN NUSANTARA,0,ORANG,2016
214,32,JAWA BARAT,BUPER TANGSI,WISATAWAN MANCANEGARA,0,ORANG,2016
215,32,JAWA BARAT,CURUG MALELA PARKIR,WISATAWAN NUSANTARA,0,ORANG,2016
216,32,JAWA BARAT,CURUG MALELA PARKIR,WISATAWAN MANCANEGARA,0,ORANG,2016
217,32,JAWA BARAT,CAFÃÂ DE FORET,WISATAWAN NUSANTARA,0,ORANG,2016
218,32,JAWA BARAT,CAFÃÂ DE FORET,WISATAWAN MANCANEGARA,0,ORANG,2016
219,32,JAWA BARAT,JUMLAH KPH BANDUNG SELATAN,WISATAWAN NUSANTARA,0,ORANG,2016
220,32,JAWA BARAT,JUMLAH KPH BANDUNG SELATAN,WISATAWAN MANCANEGARA,0,ORANG,2016
221,32,JAWA BARAT,KPH GARUT,WISATAWAN NUSANTARA,0,ORANG,2016
222,32,JAWA BARAT,KPH GARUT,WISATAWAN MANCANEGARA,0,ORANG,2016
223,32,JAWA BARAT,CURUG OROK,WISATAWAN NUSANTARA,0,ORANG,2016
224,32,JAWA BARAT,CURUG OROK,WISATAWAN MANCANEGARA,0,ORANG,2016
225,32,JAWA BARAT,SITU CIBEUREUM,WISATAWAN NUSANTARA,0,ORANG,2016
226,32,JAWA BARAT,SITU CIBEUREUM,WISATAWAN MANCANEGARA,0,ORANG,2016
227,32,JAWA BARAT,CURUG SH TARAJE,WISATAWAN NUSANTARA,0,ORANG,2016
228,32,JAWA BARAT,CURUG SH TARAJE,WISATAWAN MANCANEGARA,0,ORANG,2016
229,32,JAWA BARAT,SITU KABUYUTAN,WISATAWAN NUSANTARA,0,ORANG,2016
230,32,JAWA BARAT,SITU KABUYUTAN,WISATAWAN MANCANEGARA,0,ORANG,2016
231,32,JAWA BARAT,JUMLAH KPH GARUT,WISATAWAN NUSANTARA,0,ORANG,2016
232,32,JAWA BARAT,JUMLAH KPH GARUT,WISATAWAN MANCANEGARA,0,ORANG,2016
233,32,JAWA BARAT,KPH TASIKMALAYA,WISATAWAN NUSANTARA,0,ORANG,2016
234,32,JAWA BARAT,KPH TASIKMALAYA,WISATAWAN MANCANEGARA,0,ORANG,2016
235,32,JAWA BARAT,GALUNGGUNG,WISATAWAN NUSANTARA,0,ORANG,2016
236,32,JAWA BARAT,GALUNGGUNG,WISATAWAN MANCANEGARA,0,ORANG,2016
237,32,JAWA BARAT,REST AREA URUG,WISATAWAN NUSANTARA,3835,ORANG,2016
238,32,JAWA BARAT,REST AREA URUG,WISATAWAN MANCANEGARA,0,ORANG,2016
239,32,JAWA BARAT,JUMLAH KPH TASIKMALAYA,WISATAWAN NUSANTARA,3835,ORANG,2016
240,32,JAWA BARAT,JUMLAH KPH TASIKMALAYA,WISATAWAN MANCANEGARA,0,ORANG,2016
241,32,JAWA BARAT,KPH CIAMIS,WISATAWAN NUSANTARA,0,ORANG,2016
242,32,JAWA BARAT,KPH CIAMIS,WISATAWAN MANCANEGARA,0,ORANG,2016
243,32,JAWA BARAT,CITUMANG,WISATAWAN NUSANTARA,32931,ORANG,2016
244,32,JAWA BARAT,CITUMANG,WISATAWAN MANCANEGARA,0,ORANG,2016
245,32,JAWA BARAT,KARANGNINI,WISATAWAN NUSANTARA,1035,ORANG,2016
246,32,JAWA BARAT,KARANGNINI,WISATAWAN MANCANEGARA,21,ORANG,2016
247,32,JAWA BARAT,PANGANDARAN,WISATAWAN NUSANTARA,41785,ORANG,2016
248,32,JAWA BARAT,PANGANDARAN,WISATAWAN MANCANEGARA,225,ORANG,2016
249,32,JAWA BARAT,CURUG TUJUH CIBOLANG,WISATAWAN NUSANTARA,17442,ORANG,2016
250,32,JAWA BARAT,CURUG TUJUH CIBOLANG,WISATAWAN MANCANEGARA,0,ORANG,2016
251,32,JAWA BARAT,DARMACAANG,WISATAWAN NUSANTARA,0,ORANG,2016
252,32,JAWA BARAT,DARMACAANG,WISATAWAN MANCANEGARA,0,ORANG,2016
253,32,JAWA BARAT,SITU MUSTIKA,WISATAWAN NUSANTARA,3008,ORANG,2016
254,32,JAWA BARAT,SITU MUSTIKA,WISATAWAN MANCANEGARA,0,ORANG,2016
255,32,JAWA BARAT,JUMLAH KPH CIAMIS,WISATAWAN NUSANTARA,96201,ORANG,2016
256,32,JAWA BARAT,JUMLAH KPH CIAMIS,WISATAWAN MANCANEGARA,246,ORANG,2016
257,32,JAWA BARAT,KPH KUNINGAN,WISATAWAN NUSANTARA,0,ORANG,2016
258,32,JAWA BARAT,KPH KUNINGAN,WISATAWAN MANCANEGARA,0,ORANG,2016
259,32,JAWA BARAT,BUPER PAKEMBANGAN,WISATAWAN NUSANTARA,28101,ORANG,2016
260,32,JAWA BARAT,BUPER PAKEMBANGAN,WISATAWAN MANCANEGARA,0,ORANG,2016
261,32,JAWA BARAT,TALAGA REMIS (SHARING DARI PEMDA),WISATAWAN NUSANTARA,0,ORANG,2016
262,32,JAWA BARAT,TALAGA REMIS (SHARING DARI PEMDA),WISATAWAN MANCANEGARA,0,ORANG,2016
263,32,JAWA BARAT,PALUTUNGAN,WISATAWAN NUSANTARA,0,ORANG,2016
264,32,JAWA BARAT,PALUTUNGAN,WISATAWAN MANCANEGARA,0,ORANG,2016
265,32,JAWA BARAT,PANIIS,WISATAWAN NUSANTARA,0,ORANG,2016
