id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,data_flag,tipe_pengelola
2236,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
297,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,180,ORANG,2017,NORMAL,TN
561,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,188,ORANG,2018,NORMAL,TN
825,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,152,ORANG,2019,NORMAL,TN
1295,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,152,ORANG,2020,SUSPECT_COPY,TN
1765,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,TN
2235,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
6,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN MANCANEGARA,208,ORANG,2016,NORMAL,TN
5,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN NUSANTARA,131073,ORANG,2016,NORMAL,TN
916,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1386,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1856,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2326,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
915,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1385,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1855,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2325,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1290,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1760,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2230,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2700,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1289,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1759,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2229,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2699,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
158,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2016,NORMAL,LAINNYA
436,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,LAINNYA
700,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,LAINNYA
1050,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1520,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
