tahun,bulan,jenis_hotel,tpk
2025,Februari,2.a. Hotel NonBintang; kamar <10,14.3
2025,Februari,2.b. Hotel NonBintang; kamar 10-24,20.7
2025,Februari,2.c. Hotel NonBintang; kamar 25-40,24.32
2025,Februari,2.d. Hotel NonBintang; kamar >40,20.86
2025,Februari,2. Hotel NonBintang Total,21.33
2025,Februari,3. Hotel Berbintang dan NonBintang Total,37.88
2019,Maret,1.a. Hotel Bintang 1,
2019,Maret,1.b. Hotel Bintang 2,
2019,Maret,1.c. Hotel Bintang 3,
2019,Maret,1.d. Hotel Bintang 4,
2019,Maret,1.e. Hotel Bintang 5,
2019,Maret,1. Hotel Berbintang Total,52.69
2019,Maret,2.a. Hotel NonBintang; kamar <10,
2019,Maret,2.b. Hotel NonBintang; kamar 10-24,
2019,Maret,2.c. Hotel NonBintang; kamar 25-40,
2019,Maret,2.d. Hotel NonBintang; kamar >40,
2019,Maret,2. Hotel NonBintang Total,34.6
2019,Maret,3. Hotel Berbintang dan NonBintang Total,48.81
2020,Maret,1.a. Hotel Bintang 1,
2020,Maret,1.b. Hotel Bintang 2,
2020,Maret,1.c. Hotel Bintang 3,
2020,Maret,1.d. Hotel Bintang 4,
2020,Maret,1.e. Hotel Bintang 5,
2020,Maret,1. Hotel Berbintang Total,34.55
2020,Maret,2.a. Hotel NonBintang; kamar <10,
2020,Maret,2.b. Hotel NonBintang; kamar 10-24,
2020,Maret,2.c. Hotel NonBintang; kamar 25-40,
2020,Maret,2.d. Hotel NonBintang; kamar >40,
2020,Maret,2. Hotel NonBintang Total,17.89
2020,Maret,3. Hotel Berbintang dan NonBintang Total,28.73
2021,Maret,1.a. Hotel Bintang 1,
2021,Maret,1.b. Hotel Bintang 2,
2021,Maret,1.c. Hotel Bintang 3,
2021,Maret,1.d. Hotel Bintang 4,
2021,Maret,1.e. Hotel Bintang 5,
2021,Maret,1. Hotel Berbintang Total,40.37
2021,Maret,2.a. Hotel NonBintang; kamar <10,
2021,Maret,2.b. Hotel NonBintang; kamar 10-24,
2021,Maret,2.c. Hotel NonBintang; kamar 25-40,
2021,Maret,2.d. Hotel NonBintang; kamar >40,
2021,Maret,2. Hotel NonBintang Total,19.87
2021,Maret,3. Hotel Berbintang dan NonBintang Total,34.23
2022,Maret,1.a. Hotel Bintang 1,
2022,Maret,1.b. Hotel Bintang 2,
2022,Maret,1.c. Hotel Bintang 3,
2022,Maret,1.d. Hotel Bintang 4,
2022,Maret,1.e. Hotel Bintang 5,
2022,Maret,1. Hotel Berbintang Total,50.44
2022,Maret,2.a. Hotel NonBintang; kamar <10,
2022,Maret,2.b. Hotel NonBintang; kamar 10-24,
2022,Maret,2.c. Hotel NonBintang; kamar 25-40,
2022,Maret,2.d. Hotel NonBintang; kamar >40,
2022,Maret,2. Hotel NonBintang Total,23.55
2022,Maret,3. Hotel Berbintang dan NonBintang Total,
2023,Maret,1.a. Hotel Bintang 1,
2023,Maret,1.b. Hotel Bintang 2,
2023,Maret,1.c. Hotel Bintang 3,
2023,Maret,1.d. Hotel Bintang 4,
2023,Maret,1.e. Hotel Bintang 5,
2023,Maret,1. Hotel Berbintang Total,46.25
2023,Maret,2.a. Hotel NonBintang; kamar <10,
2023,Maret,2.b. Hotel NonBintang; kamar 10-24,
2023,Maret,2.c. Hotel NonBintang; kamar 25-40,
2023,Maret,2.d. Hotel NonBintang; kamar >40,
2023,Maret,2. Hotel NonBintang Total,19.44
