tahun,kode_wilayah,kabupaten_kota,wilayah,total_objek_wisata,alam,buatan,budaya,minat_khusus,alam_norm,budaya_norm,buatan_norm,minat_khusus_norm,total_norm
2017,3277,KOTA CIMAHI,Priangan Barat,6,1.0,,2.0,3.0,0.012195121951219513,0.023809523809523808,,0.02830188679245283,0.02857142857142857
2017,3278,KOTA TASIKMALAYA,Priangan Timur,11,4.0,,5.0,2.0,0.04878048780487805,0.05952380952380952,,0.018867924528301886,0.05238095238095238
2017,3279,KOTA BANJAR,Priangan Timur,1,1.0,,0.0,0.0,0.012195121951219513,0.0,,0.0,0.004761904761904762
2018,3201,KABUPATEN BOGOR,Bogor-Sukabumi,86,55.0,28.0,3.0,,0.14248704663212436,0.02586206896551724,0.417910447761194,,0.2107843137254902
2018,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2018,3203,KABUPATEN CIANJUR,Priangan Barat,82,59.0,14.0,9.0,,0.15284974093264247,0.07758620689655173,0.208955223880597,,0.20098039215686275
2018,3204,KABUPATEN BANDUNG,Priangan Barat,94,48.0,39.0,7.0,,0.12435233160621761,0.0603448275862069,0.582089552238806,,0.23039215686274508
2018,3205,KABUPATEN GARUT,Priangan Timur,204,102.0,67.0,35.0,,0.26424870466321243,0.3017241379310345,1.0,,0.5
2018,3206,KABUPATEN TASIKMALAYA,Priangan Timur,408,386.0,2.0,20.0,,1.0,0.1724137931034483,0.029850746268656716,,1.0
2018,3207,KABUPATEN CIAMIS,Priangan Timur,143,82.0,16.0,45.0,,0.21243523316062177,0.3879310344827586,0.23880597014925373,,0.35049019607843135
2018,3208,KABUPATEN KUNINGAN,Pantura Timur,35,23.0,9.0,3.0,,0.05958549222797927,0.02586206896551724,0.13432835820895522,,0.0857843137254902
2018,3209,KABUPATEN CIREBON,Pantura Timur,133,7.0,10.0,116.0,,0.018134715025906734,1.0,0.14925373134328357,,0.32598039215686275
2018,3210,KABUPATEN MAJALENGKA,Pantura Timur,175,99.0,37.0,39.0,,0.25647668393782386,0.33620689655172414,0.5522388059701493,,0.42892156862745096
2018,3211,KABUPATEN SUMEDANG,Priangan Barat,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2018,3212,KABUPATEN INDRAMAYU,Pantura Timur,28,13.0,6.0,9.0,,0.03367875647668394,0.07758620689655173,0.08955223880597014,,0.06862745098039216
2018,3213,KABUPATEN SUBANG,Pantura Barat,47,27.0,17.0,3.0,,0.06994818652849741,0.02586206896551724,0.2537313432835821,,0.11519607843137254
2018,3214,KABUPATEN PURWAKARTA,Pantura Barat,38,19.0,11.0,8.0,,0.04922279792746114,0.06896551724137931,0.16417910447761194,,0.09313725490196079
2018,3215,KABUPATEN KARAWANG,Pantura Barat,84,44.0,7.0,33.0,,0.11398963730569948,0.28448275862068967,0.1044776119402985,,0.20588235294117646
2018,3216,KABUPATEN BEKASI,Pantura Barat,23,5.0,18.0,0.0,,0.012953367875647668,0.0,0.26865671641791045,,0.056372549019607844
2018,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,134,64.0,56.0,14.0,,0.16580310880829016,0.1206896551724138,0.835820895522388,,0.3284313725490196
2018,3218,KABUPATEN PANGANDARAN,Priangan Timur,103,56.0,0.0,47.0,,0.14507772020725387,0.4051724137931034,0.0,,0.25245098039215685
2018,3271,KOTA BOGOR,Bogor-Sukabumi,23,0.0,22.0,1.0,,0.0,0.008620689655172414,0.3283582089552239,,0.056372549019607844
2018,3272,KOTA SUKABUMI,Bogor-Sukabumi,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2018,3273,KOTA BANDUNG,Priangan Barat,17,3.0,0.0,14.0,,0.007772020725388601,0.1206896551724138,0.0,,0.041666666666666664
2018,3274,KOTA CIREBON,Pantura Timur,17,1.0,2.0,14.0,,0.0025906735751295338,0.1206896551724138,0.029850746268656716,,0.041666666666666664
2018,3275,KOTA BEKASI,Pantura Barat,7,4.0,0.0,3.0,,0.010362694300518135,0.02586206896551724,0.0,,0.01715686274509804
2018,3276,KOTA DEPOK,Pantura Barat,24,9.0,9.0,6.0,,0.023316062176165803,0.05172413793103448,0.13432835820895522,,0.058823529411764705
2018,3277,KOTA CIMAHI,Priangan Barat,6,1.0,3.0,2.0,,0.0025906735751295338,0.017241379310344827,0.04477611940298507,,0.014705882352941176
2018,3278,KOTA TASIKMALAYA,Priangan Timur,11,4.0,2.0,5.0,,0.010362694300518135,0.04310344827586207,0.029850746268656716,,0.02696078431372549
2018,3279,KOTA BANJAR,Priangan Timur,2,1.0,1.0,0.0,,0.0025906735751295338,0.0,0.014925373134328358,,0.004901960784313725
2019,3201,KABUPATEN BOGOR,Bogor-Sukabumi,381,169.0,151.0,61.0,,0.44473684210526315,0.5258620689655172,1.0,,0.9477611940298507
2019,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,60,47.0,6.0,7.0,,0.12368421052631579,0.0603448275862069,0.039735099337748346,,0.14925373134328357
